player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,Goals scored per 90 minutes,Assists per 90 minutes,Goal+ Assist per 90 minutes,g-pk per 90 minutes,g+a-pk per 90 minutes,xg per 90 minutes,xag per 90 minutes,xg+xag per 90 minutes,npxg per 90 minutes,npxg+xag per 90 minutes,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Position,Date of birth / Age,Height,Foot,Market value,Club,League,role,prog_carries_90_any,prog_passes_rec_90_any,prog_passes_90_any,yc_90,rc_90,fwd_score,mf_score,df_score,gk_score,fwd_rank,mf_rank,df_rank,gk_rank,_market_value_eur,fwd_underrated,mf_underrated,df_underrated,gk_underrated,fwd_underrated_rank,mf_underrated_rank,df_underrated_rank,gk_underrated_rank
Lucas Vázquez,Spain,33,50,3232.0,35.9,2.0,7.0,9.0,2.0,0.0,0.0,9.0,1.0,2.0,2.0,5.7,7.7,44.0,124.0,241.0,0.06,0.19,0.25,0.06,0.25,0.06,0.19,0.25,0.06,0.25,"4x La Liga Champion, 5x Champions League Champion",7.86,2.32,0.85,0.91,1.57,0.23,,,,,,,,,,,,,,,,,,,Right-Back,01.07.1991 (33),"1,73m",right,€3.00m,Real Madrid,La Liga,DF,1.2256267409470754,7.86,3.454038997214485,0.25069637883008355,0.02785515320334262,,,-0.06024241043505647,,,,17.0,,3000000.0,,,-2.008080347835216e-08,,,,,
Raúl Asencio,Spain,21,41,3063.0,34.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.2,0.2,0.6,0.8,8.0,34.0,6.0,0.0,0.06,0.06,0.0,0.06,0.01,0.02,0.03,0.01,0.03,,0.22,1.27,0.71,0.67,4.17,1.3,,,,,,,,,,,,,,,,,,,Centre-Back,13.02.2003 (22),"1,84m",right,€40.00m,Real Madrid,La Liga,DF,0.23529411764705882,0.22,1.0,0.23529411764705882,0.0,,,-0.29024105446174564,,,,20.0,,40000000.0,,,-7.256026361543641e-09,,,,18.0,
Fran Garcia,Spain,24,47,2873.0,31.9,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,2.1,2.9,86.0,132.0,197.0,0.0,0.13,0.13,0.0,0.13,0.03,0.08,0.11,0.03,0.11,"2023-24 La Liga Champion, 2023-24 Champions League Champion",7.27,2.18,1.29,1.07,2.77,0.7,,,,,,,,,,,,,,,,,,,Left-Back,14.08.1999 (25),"1,69m",left,€18.00m,Real Madrid,La Liga,DF,2.6959247648902824,7.27,4.137931034482759,0.0,0.0,,,0.6516361717476887,,,,3.0,,18000000.0,,,3.620200954153826e-08,,,,2.0,
Luka Modrić,Croatia,38,56,2854.0,31.7,4.0,9.0,13.0,4.0,0.0,0.0,11.0,0.0,1.7,1.7,8.5,10.2,73.0,271.0,77.0,0.13,0.28,0.41,0.13,0.41,0.06,0.31,0.37,0.06,0.37,"2018 Ballon d'Or, 2018 The Best FIFA Men's Player, 2017-18 UEFA Men's Player of the Year, 5x Domestic League Champion, 6x Champions League Champion, 13x Croatian Footballer of the Year",,,,,,,5.56,95.52,88.1,9.79,2.69,2.83,1.55,1.4,0.7,0.92,0.26,,,,,,,,Central Midfield,09.09.1985 (39),"1,72m",right,€4.00m,Real Madrid,La Liga,MF,2.69,2.83,9.79,0.3470031545741325,0.0,,1.2471106735607955,,,,1.0,,,4000000.0,,3.1177766839019887e-07,,,,,,
Ferland Mendy,France,29,31,2238.0,24.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.5,0.5,0.7,1.2,18.0,59.0,62.0,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.06,0.02,0.06,"3x La Liga Champion, 2x Champions League Champion",2.8,1.2,0.6,0.85,0.7,0.25,,,,,,,,,,,,,,,,,,,Left-Back,08.06.1995 (30),"1,80m",left,€14.00m,Real Madrid,La Liga,DF,0.7228915662650602,2.8,2.3694779116465865,0.08032128514056225,0.040160642570281124,,,-0.8053414689531191,,,,25.0,,14000000.0,,,-5.7524390639508503e-08,,,,26.0,
Brahim Díaz,Morocco,24,51,2169.0,24.1,6.0,6.0,12.0,6.0,0.0,0.0,1.0,0.0,6.7,6.7,4.3,11.0,58.0,96.0,143.0,0.25,0.25,0.5,0.25,0.5,0.33,0.21,0.54,0.33,0.54,"4x Domestic League Champion, 2023-24 Champions League Champion",,,,,,,3.43,44.03,86.2,4.54,2.8,6.71,1.59,0.48,0.82,0.14,0.19,,,,,,,,Right Winger,03.08.1999 (25),"1,70m",both,€40.00m,Real Madrid,La Liga,FWD,2.8,6.71,4.54,0.04149377593360996,0.0,-0.8106760797390794,,,,20.0,,,,40000000.0,-2.0266901993476987e-08,,,,21.0,,,
Eduardo Camavinga,France,21,34,2023.0,22.5,2.0,2.0,4.0,2.0,0.0,0.0,9.0,1.0,0.5,0.5,1.4,1.9,33.0,86.0,36.0,0.09,0.09,0.18,0.09,0.18,0.03,0.08,0.11,0.03,0.11,"2x La Liga Champion, 2x Champions League Champion",,,,,,,2.48,60.88,89.8,4.84,1.86,2.03,3.83,1.52,1.86,2.31,1.52,,,,,,,,Central Midfield,10.11.2002 (22),"1,82m",left,€60.00m,Real Madrid,La Liga,MF,1.86,2.03,4.84,0.4,0.044444444444444446,,-0.36742471322005976,,,,18.0,,,60000000.0,,-6.123745220334329e-09,,,,18.0,,
Dani Ceballos,Spain,27,40,1956.0,21.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,2.3,2.7,46.0,185.0,19.0,0.0,0.09,0.09,0.0,0.09,0.02,0.13,0.15,0.02,0.15,"2x La Liga Champion, 3x Champions League Champion",,,,,,,4.0,94.5,94.4,10.28,2.56,1.06,3.17,0.89,1.17,1.0,0.11,,,,,,,,Central Midfield,07.08.1996 (28),"1,79m",right,€10.00m,Real Madrid,La Liga,MF,2.56,1.06,10.28,0.2304147465437788,0.0,,0.8163516414310565,,,,3.0,,,10000000.0,,8.163516414310565e-08,,,,2.0,,
Arda Güler,Turkey,19,42,1781.0,19.8,5.0,8.0,13.0,5.0,0.0,0.0,1.0,0.0,3.7,3.7,5.9,9.6,40.0,108.0,93.0,0.25,0.4,0.66,0.25,0.66,0.24,0.38,0.62,0.24,0.62,2023-24 La Liga Champion,,,,,,,6.0,64.11,85.9,6.97,2.58,6.0,2.07,0.52,1.23,0.58,0.52,,,,,,,,Attacking Midfield,25.02.2005 (20),"1,75m",left,€45.00m,Real Madrid,La Liga,MF,2.58,6.0,6.97,0.050505050505050504,0.0,,0.0,,,,,,,45000000.0,,0.0,,,,,,
Andriy Lunin,Ukraine,25,14,1320.0,14.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.1,0.1,0.0,0.1,"2023-24 La Liga Champion, 2023-24 Champions League Champion",,,,,,,,,,,,,,,,,,68.8,0.34,0.0,44.4,7.7,1.67,14.8,Goalkeeper,11.02.1999 (26),"1,91m",right,€18.00m,Real Madrid,La Liga,GK,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,18000000.0,,,,0.0,,,,
Éder Militão,Brazil,26,17,1309.0,14.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.7,1.6,9.0,58.0,2.0,0.07,0.07,0.14,0.07,0.14,0.06,0.05,0.12,0.06,0.12,"3x La Liga Champion, 2x Champions League Champion",0.16,1.59,1.36,1.43,2.79,1.99,,,,,,,,,,,,,,,,,,,Centre-Back,18.01.1998 (27),"1,86m",right,€30.00m,Real Madrid,La Liga,DF,0.6206896551724138,0.16,4.0,0.27586206896551724,0.0,,,0.0,,,,,,30000000.0,,,0.0,,,,,
Endrick,Brazil,18,37,863.0,9.6,7.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,3.5,3.5,1.0,4.5,13.0,11.0,42.0,0.73,0.0,0.73,0.73,0.73,0.62,0.18,0.8,0.62,0.8,2x Série A Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,21.07.2006 (18),"1,73m",left,€35.00m,Real Madrid,La Liga,FWD,1.3541666666666667,4.375,1.1458333333333335,0.4166666666666667,0.0,0.0,,,,,,,,35000000.0,0.0,,,,,,,
David Alaba,Austria,32,14,601.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,3.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,"11x Domestic League Champion, 4x Champions League Champion, 10x Austrian Footballer of the Year",1.83,0.55,1.28,1.46,2.01,0.91,,,,,,,,,,,,,,,,,,,Centre-Back,24.06.1992 (33),"1,80m",left,€6.00m,Real Madrid,La Liga,DF,0.44776119402985076,1.83,1.791044776119403,0.29850746268656714,0.0,,,0.0,,,,,,6000000.0,,,0.0,,,,,
Jacobo Ramón,Spain,19,5,307.0,3.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,0.0,1.0,2.0,0.29,0.0,0.29,0.29,0.29,0.11,0.08,0.19,0.11,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,06.01.2005 (20),"1,96m",right,€1.00m,Real Madrid,La Liga,DF,0.0,0.5882352941176471,0.29411764705882354,0.5882352941176471,0.0,,,0.0,,,,,,1000000.0,,,0.0,,,,,
Jesús Vallejo,Spain,27,4,138.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,5.0,1.0,0.0,0.65,0.65,0.0,0.65,0.0,0.08,0.08,0.0,0.08,2021-22 La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,05.01.1997 (28),"1,84m",right,€1.00m,Real Madrid,La Liga,DF,0.0,0.6666666666666666,3.3333333333333335,0.0,0.0,,,0.0,,,,,,1000000.0,,,0.0,,,,,
Diego Aguado,Spain,17,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,07.02.2007 (18),"1,84m",left,€1.00m,Real Madrid,La Liga,DF,,,,0.0,0.0,,,0.0,,,,,,1000000.0,,,0.0,,,,,
Lorenzo Aguado,Spain,21,3,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,19.09.2002 (22),"1,80m",right,€100k,Real Madrid,La Liga,DF,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,100000.0,,,0.0,,,,,
Gonzalo García,Spain,20,4,65.0,0.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.0,0.0,3.0,1.38,1.38,2.77,1.38,2.77,0.79,1.56,2.35,0.79,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,24.03.2004 (21),"1,82m",both,€8.00m,Real Madrid,La Liga,FWD,0.0,4.285714285714286,0.0,0.0,0.0,0.0,,,,,,,,8000000.0,0.0,,,,,,,
Víctor Muñoz,Spain,21,2,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,1.23,1.23,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,13.07.2003 (21),"1,73m",right,€1.00m,Real Madrid,La Liga,FWD,7.5,22.5,0.0,0.0,0.0,0.0,,,,,,,,1000000.0,0.0,,,,,,,
Daniel Yáñez,Spain,17,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,28.03.2007 (18),"1,77m",left,€150k,Real Madrid,La Liga,FWD,,,,,,0.0,,,,,,,,150000.0,0.0,,,,,,,
Victor Valdepeñas,Spain,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,20.10.2006 (18),"1,88m",left,€500k,Real Madrid,La Liga,DF,,,,,,,,0.0,,,,,,500000.0,,,0.0,,,,,
Mario Rivas,Spain,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,16.03.2007 (18),-,,€300k,Real Madrid,La Liga,DF,,,,,,,,0.0,,,,,,300000.0,,,0.0,,,,,
David Jiménez,Spain,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,14.03.2004 (21),"1,70m",right,€400k,Real Madrid,La Liga,DF,,,,,,,,0.0,,,,,,400000.0,,,0.0,,,,,
Sergio Mestre,Spain,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,13.02.2005 (20),"1,93m",right,€50k,Real Madrid,La Liga,GK,,,,,,,,,0.0,,,,,50000.0,,,,0.0,,,,
Hugo de Llanos,Spain,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,18.03.2005 (20),"1,75m",right,€200k,Real Madrid,La Liga,FWD,,,,,,0.0,,,,,,,,200000.0,0.0,,,,,,,
Pol Fortuny,Spain,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,11.03.2005 (20),"1,75m",left,€400k,Real Madrid,La Liga,MF,,,,,,,0.0,,,,,,,400000.0,,0.0,,,,,,
David Raya,Spain,28,55,4980.0,55.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,76.7,0.28,28.6,37.3,12.6,1.65,16.9,Goalkeeper,15.09.1995 (29),"1,83m",right,€40.00m,Arsenal,Premier League,GK,0.0,0.0,0.27124773960216997,0.09041591320072333,0.0,,,,0.8181956702782048,,,,1.0,40000000.0,,,,2.045489175695512e-08,,,,1.0
William Saliba,France,23,51,4464.0,49.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,2.6,2.6,0.9,3.5,20.0,170.0,7.0,0.04,0.0,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,,0.16,1.76,0.69,0.78,3.8,1.74,,,,,,,,,,,,,,,,,,,Centre-Back,24.03.2001 (24),"1,92m",right,€80.00m,Arsenal,Premier League,DF,0.4032258064516129,0.16,3.4274193548387095,0.06048387096774193,0.020161290322580645,,,0.056062809393588445,,,,14.0,,80000000.0,,,7.007851174198555e-10,,,,14.0,
Declan Rice,England,25,52,4116.0,45.7,9.0,10.0,19.0,9.0,0.0,0.0,10.0,1.0,5.3,5.3,7.8,13.1,113.0,254.0,121.0,0.2,0.22,0.42,0.2,0.42,0.13,0.18,0.31,0.13,0.31,,,,,,,,3.13,50.87,84.0,5.84,2.68,2.78,1.72,0.89,0.96,1.48,1.06,,,,,,,,Central Midfield,14.01.1999 (26),"1,88m",right,€120.00m,Arsenal,Premier League,MF,2.68,2.78,5.84,0.2188183807439825,0.02188183807439825,,-0.17351512251810108,,,,14.0,,,120000000.0,,-1.445959354317509e-09,,,,12.0,,
Thomas Partey,Ghana,31,52,3940.0,43.8,4.0,2.0,6.0,4.0,0.0,0.0,7.0,0.0,2.9,2.9,2.6,5.5,49.0,222.0,63.0,0.09,0.05,0.14,0.09,0.14,0.07,0.06,0.14,0.07,0.14,3x Ghana Player of the Year,1.62,2.62,1.2,1.0,1.52,0.87,,,,,,,,,,,,,,,,,,,Defensive Midfield,13.06.1993 (32),"1,85m",right,€14.00m,Arsenal,Premier League,MF,1.1187214611872147,1.62,5.068493150684932,0.15981735159817353,0.0,,-0.4969515787911929,,,,20.0,,,14000000.0,,-3.5496541342228064e-08,,,,,,
Jurriën Timber,Netherlands,23,48,3666.0,40.7,2.0,4.0,6.0,2.0,0.0,0.0,9.0,0.0,1.8,1.8,2.2,4.1,70.0,193.0,122.0,0.05,0.1,0.15,0.05,0.15,0.05,0.06,0.11,0.05,0.11,2x Eredivisie Champion,3.37,2.32,0.97,0.77,1.79,0.94,,,,,,,,,,,,,,,,,,,Right-Back,17.06.2001 (24),"1,79m",right,€55.00m,Arsenal,Premier League,DF,1.7199017199017197,3.37,4.742014742014741,0.22113022113022113,0.0,,,0.02525119030287475,,,,15.0,,55000000.0,,,4.591125509613591e-10,,,,15.0,
Gabriel Martinelli,Brazil,23,51,3551.0,39.5,10.0,5.0,15.0,10.0,0.0,0.0,3.0,0.0,11.6,11.6,7.0,18.6,168.0,67.0,373.0,0.25,0.13,0.38,0.25,0.38,0.32,0.2,0.52,0.32,0.52,,,,,,,,2.82,26.02,71.1,1.86,4.65,10.15,0.9,0.17,0.73,0.7,0.62,,,,,,,,Left Winger,18.06.2001 (24),"1,78m",right,€55.00m,Arsenal,Premier League,FWD,4.65,10.15,1.86,0.0759493670886076,0.0,-0.7556395388746535,,,,19.0,,,,55000000.0,-1.3738900706811882e-08,,,,19.0,,,
Gabriel Magalhães,Brazil,26,42,3499.0,38.9,5.0,1.0,6.0,5.0,0.0,0.0,6.0,0.0,3.9,3.9,0.9,4.8,13.0,162.0,11.0,0.13,0.03,0.15,0.13,0.15,0.11,0.02,0.14,0.11,0.14,,0.31,0.85,0.6,1.51,3.55,2.3,,,,,,,,,,,,,,,,,,,Centre-Back,19.12.1997 (27),"1,90m",left,€75.00m,Arsenal,Premier League,DF,0.3341902313624679,0.31,4.16452442159383,0.15424164524421594,0.0,,,0.09474760075243638,,,,12.0,,75000000.0,,,1.2633013433658183e-09,,,,13.0,
Leandro Trossard,Belgium,29,56,3452.0,38.4,10.0,9.0,19.0,10.0,0.0,1.0,5.0,1.0,9.9,9.1,6.8,15.9,98.0,133.0,271.0,0.26,0.23,0.5,0.26,0.5,0.28,0.19,0.47,0.26,0.44,2018-19 Belgian First Division A Champion,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,04.12.1994 (30),"1,72m",right,€22.00m,Arsenal,Premier League,FWD,2.5520833333333335,7.057291666666667,3.463541666666667,0.13020833333333334,0.026041666666666668,-0.9816941943844922,,,,22.0,,,,22000000.0,-4.462246338111328e-08,,,,22.0,,,
Martin Ødegaard,Norway,25,45,3437.0,38.2,6.0,11.0,17.0,5.0,1.0,2.0,4.0,0.0,6.7,5.9,7.0,12.8,123.0,316.0,193.0,0.16,0.29,0.45,0.13,0.42,0.19,0.2,0.39,0.17,0.37,,,,,,,,4.73,55.67,82.4,9.05,3.57,5.56,0.75,0.29,0.26,0.35,0.26,,,,,,,,Attacking Midfield,17.12.1998 (26),"1,78m",left,€85.00m,Arsenal,Premier League,MF,3.57,5.56,9.05,0.10471204188481674,0.0,,0.7170670355236978,,,,4.0,,,85000000.0,,8.436082770867033e-09,,,,3.0,,
Kai Havertz,Germany,25,36,2810.0,31.2,15.0,4.0,19.0,15.0,0.0,0.0,7.0,0.0,12.2,12.2,3.5,15.7,39.0,80.0,157.0,0.48,0.13,0.61,0.48,0.61,0.45,0.13,0.58,0.45,0.58,2020-21 Champions League Champion,,,,,,,2.31,26.28,79.0,2.92,1.4,5.6,0.8,0.23,1.06,1.36,2.99,,,,,,,,Centre-Forward,11.06.1999 (26),"1,93m",left,€65.00m,Arsenal,Premier League,FWD,1.4,5.6,2.92,0.22435897435897437,0.0,-0.5589164537041889,,,,17.0,,,,65000000.0,-8.598714672372136e-09,,,,17.0,,,
Mikel Merino,Spain,28,44,2640.0,29.3,9.0,5.0,14.0,9.0,0.0,0.0,5.0,1.0,7.0,6.9,3.3,10.2,16.0,102.0,123.0,0.31,0.17,0.48,0.31,0.48,0.26,0.12,0.38,0.26,0.38,,,,,,,,2.35,32.29,77.8,3.81,0.6,4.59,2.5,0.78,1.01,1.42,3.06,,,,,,,,Central Midfield,22.06.1996 (29),"1,89m",left,€35.00m,Arsenal,Premier League,MF,0.6,4.59,3.81,0.1706484641638225,0.034129692832764506,,-1.1746506503150738,,,,23.0,,,35000000.0,,-3.356144715185925e-08,,,,22.0,,
Bukayo Saka,England,22,37,2609.0,29.0,12.0,13.0,25.0,10.0,2.0,3.0,5.0,0.0,11.2,8.9,10.9,19.8,139.0,88.0,341.0,0.41,0.45,0.86,0.34,0.79,0.41,0.39,0.8,0.32,0.72,,,,,,,,5.15,36.65,74.3,3.06,4.93,11.95,1.62,0.36,1.08,0.43,0.36,,,,,,,,Right Winger,05.09.2001 (23),"1,78m",left,€150.00m,Arsenal,Premier League,FWD,4.93,11.95,3.06,0.1724137931034483,0.0,0.039980423218348084,,,,8.0,,,,150000000.0,2.6653615478898724e-10,,,,8.0,,,
Myles Lewis-Skelly,England,17,39,2303.0,25.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,2.0,0.3,0.3,1.0,1.2,44.0,95.0,44.0,0.04,0.04,0.08,0.04,0.08,0.01,0.05,0.06,0.01,0.06,,2.03,1.29,0.46,0.46,1.61,0.55,,,,,,,,,,,,,,,,,,,Left-Back,26.09.2006 (18),"1,78m",left,€45.00m,Arsenal,Premier League,DF,1.71875,2.03,3.7109375,0.234375,0.078125,,,-1.0496423815584837,,,,26.0,,45000000.0,,,-2.3325386256855193e-08,,,,22.0,
Jakub Kiwior,Poland,24,30,2160.0,24.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,1.1,1.4,7.0,70.0,2.0,0.04,0.08,0.12,0.04,0.12,0.01,0.05,0.07,0.01,0.07,,0.1,1.76,0.43,0.86,3.56,1.05,,,,,,,,,,,,,,,,,,,Centre-Back,15.02.2000 (25),"1,89m",left,€28.00m,Arsenal,Premier League,DF,0.2916666666666667,0.1,2.9166666666666665,0.08333333333333333,0.0,,,-0.21251317525422397,,,,18.0,,28000000.0,,,-7.589756259079427e-09,,,,19.0,
Ben White,England,26,26,1533.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.5,2.1,28.0,88.0,54.0,0.0,0.12,0.12,0.0,0.12,0.04,0.09,0.12,0.04,0.12,,3.09,1.49,1.13,0.95,3.27,1.43,,,,,,,,,,,,,,,,,,,Right-Back,08.10.1997 (27),"1,86m",right,€45.00m,Arsenal,Premier League,DF,1.6470588235294117,3.09,5.176470588235294,0.17647058823529413,0.0,,,0.0,,,,,,45000000.0,,,0.0,,,,,
Riccardo Calafiori,Italy,22,29,1496.0,16.6,3.0,2.0,5.0,3.0,0.0,0.0,7.0,0.0,1.5,1.5,1.3,2.8,30.0,67.0,39.0,0.18,0.12,0.3,0.18,0.3,0.1,0.09,0.18,0.1,0.18,,2.48,2.48,1.03,1.09,2.55,1.76,,,,,,,,,,,,,,,,,,,Left-Back,19.05.2002 (23),"1,88m",left,€35.00m,Arsenal,Premier League,DF,1.8072289156626504,2.48,4.036144578313253,0.4216867469879518,0.0,,,0.0,,,,,,35000000.0,,,0.0,,,,,
Jorginho,Italy,32,27,1455.0,16.2,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.8,0.1,0.6,0.6,13.0,65.0,11.0,0.06,0.0,0.06,0.0,0.0,0.07,0.05,0.13,0.01,0.06,"2020-21 UEFA Men's Player of the Year, 2020-21 Champions League Champion",,,,,,,3.21,86.92,89.8,9.09,0.53,0.94,1.87,2.01,0.67,0.4,0.67,,,,,,,,Defensive Midfield,20.12.1991 (33),"1,80m",right,€6.00m,Arsenal,Premier League,MF,0.53,0.94,9.09,0.308641975308642,0.0,,0.0,,,,,,,6000000.0,,0.0,,,,,,
Ethan Nwaneri,England,17,37,1387.0,15.4,9.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,1.9,1.9,1.6,3.5,56.0,39.0,129.0,0.58,0.13,0.71,0.58,0.71,0.15,0.13,0.28,0.15,0.28,,,,,,,,2.65,40.38,79.3,3.14,4.5,10.38,1.37,0.16,0.97,0.48,0.32,,,,,,,,Attacking Midfield,21.03.2007 (18),"1,76m",left,€55.00m,Arsenal,Premier League,MF,4.5,10.38,3.14,0.06493506493506493,0.0,,0.0,,,,,,,55000000.0,,0.0,,,,,,
Gabriel Jesus,Brazil,27,27,1207.0,13.4,7.0,2.0,9.0,7.0,0.0,0.0,5.0,0.0,4.4,4.4,1.1,5.5,21.0,24.0,93.0,0.52,0.15,0.67,0.52,0.67,0.45,0.12,0.57,0.45,0.57,"5x Domestic League Champion, 2016 Brazil Golden Ball",,,,,,,2.62,30.35,76.6,2.51,2.09,9.73,1.67,0.63,1.99,0.94,1.47,,,,,,,,Centre-Forward,03.04.1997 (28),"1,75m",right,€32.00m,Arsenal,Premier League,FWD,2.09,9.73,2.51,0.3731343283582089,0.0,0.0,,,,,,,,32000000.0,0.0,,,,,,,
Raheem Sterling,England,29,28,1147.0,12.7,1.0,5.0,6.0,1.0,0.0,1.0,5.0,0.0,3.0,2.2,1.3,3.5,39.0,23.0,107.0,0.08,0.39,0.47,0.08,0.47,0.33,0.15,0.48,0.24,0.39,"4x Premier League Champion, 2018-19 FWA Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,08.12.1994 (30),"1,70m",right,€10.00m,Arsenal,Premier League,FWD,3.070866141732284,8.425196850393702,1.8110236220472442,0.3937007874015748,0.0,0.0,,,,,,,,10000000.0,0.0,,,,,,,
Oleksandr Zinchenko,Ukraine,27,23,795.0,8.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.8,1.7,11.0,65.0,27.0,0.11,0.11,0.23,0.11,0.23,0.11,0.1,0.21,0.11,0.21,4x Premier League Champion,3.45,0.83,0.55,1.24,1.24,1.93,,,,,,,,,,,,,,,,,,,Left-Back,15.12.1996 (28),"1,75m",left,€20.00m,Arsenal,Premier League,DF,1.25,3.45,7.386363636363636,0.22727272727272727,0.0,,,0.0,,,,,,20000000.0,,,0.0,,,,,
Kieran Tierney,Scotland,27,20,456.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.5,1.9,10.0,22.0,36.0,0.2,0.0,0.2,0.2,0.2,0.08,0.36,0.44,0.08,0.44,4x Scottish Premiership Champion,,,,,,,,,,,,,,,,,,,,,,,,,Left-Back,05.06.1997 (28),"1,80m",left,€9.00m,Arsenal,Premier League,DF,1.9607843137254903,7.058823529411765,4.313725490196079,0.0,0.0,,,0.0,,,,,,9000000.0,,,0.0,,,,,
